,Value,Time
335,    38 989 016.839,2018-10-29 09:40:00.0000000
336,    38 988 919.934,2018-10-29 09:35:00.0000000
337,    38 988 813.625,2018-10-29 09:30:00.0000000
338,    38 988 706.392,2018-10-29 09:25:00.0000000
339,    38 988 603.321,2018-10-29 09:20:00.0000000
340,    38 988 500.383,2018-10-29 09:15:00.0000000
341,    38 988 399.482,2018-10-29 09:10:00.0000000
342,    38 988 310.056,2018-10-29 09:05:00.0000000
343,    38 988 216.085,2018-10-29 09:00:00.0000000
344,    38 988 116.373,2018-10-29 08:55:00.0000000
345,    38 988 029.386,2018-10-29 08:50:00.0000000
346,    38 987 936.638,2018-10-29 08:45:00.0000000
347,    38 987 850.437,2018-10-29 08:40:00.0000000
348,    38 987 768.269,2018-10-29 08:35:00.0000000
349,    38 987 686.116,2018-10-29 08:30:00.0000000
350,    38 987 603.715,2018-10-29 08:25:00.0000000
351,    38 987 519.085,2018-10-29 08:20:00.0000000
352,    38 987 430.429,2018-10-29 08:15:00.0000000
353,    38 987 336.063,2018-10-29 08:10:00.0000000
354,    38 987 242.003,2018-10-29 08:05:00.0000000
355,    38 987 144.087,2018-10-29 08:00:00.0000000
356,    38 987 052.201,2018-10-29 07:55:00.0000000
357,    38 986 968.430,2018-10-29 07:50:00.0000000
358,    38 986 893.073,2018-10-29 07:45:00.0000000
359,    38 986 806.492,2018-10-29 07:40:00.0000000
360,    38 986 709.698,2018-10-29 07:35:00.0000000
361,    38 986 614.214,2018-10-29 07:30:00.0000000
362,    38 986 526.587,2018-10-29 07:25:00.0000000
363,    38 986 441.049,2018-10-29 07:20:00.0000000
364,    38 986 357.990,2018-10-29 07:15:00.0000000
365,    38 986 264.814,2018-10-29 07:10:00.0000000
366,    38 986 167.256,2018-10-29 07:05:00.0000000
367,    38 986 062.533,2018-10-29 07:00:00.0000000
368,    38 985 963.400,2018-10-29 06:55:00.0000000
369,    38 985 864.264,2018-10-29 06:50:00.0000000
370,    38 985 769.889,2018-10-29 06:45:00.0000000
371,    38 985 671.966,2018-10-29 06:40:00.0000000
372,    38 985 565.999,2018-10-29 06:35:00.0000000
373,    38 985 458.367,2018-10-29 06:30:00.0000000
374,    38 985 358.648,2018-10-29 06:25:00.0000000
375,    38 985 262.846,2018-10-29 06:20:00.0000000
376,    38 985 170.309,2018-10-29 06:15:00.0000000
377,    38 985 073.780,2018-10-29 06:10:00.0000000
378,    38 984 987.272,2018-10-29 06:05:00.0000000
